Year,Իրավունքի տեսակ,Սեռ,Units,Value
2023,Sublease,կին,դեպք,6
2023,Pledge,կին,դեպք,28
2023,A right to land development,կին,դեպք,180
2023,Gratuitous use,կին,դեպք,37
2023,Use of the residential premises,կին,դեպք,1
2023,Servitude,կին,դեպք,14
2023,Right of constructor or unauthorised buidlings,կին,դեպք,978
2023,Use,կին,դեպք,6
2023,Having the right to purchase immovable property under construction,կին,դեպք,8652
2023,Use of unauthorised,կին,դեպք,2701
2024,Ownership,կին,դեպք,27090
2024,Common jointly ownership,կին,դեպք,9957
2024,Common shared ownership,կին,դեպք,37603
2024,Lease,կին,դեպք,1444
2024,Sublease,կին,դեպք,9
2024,Pledge,կին,դեպք,47
2024,A right to land development,կին,դեպք,188
2024,Gratuitous use,կին,դեպք,63
2024,Use of the residential premises,կին,դեպք,2
2024,Servitude,կին,դեպք,10
2024,Trust management,կին,դեպք,1
2024,Right of constructor or unauthorised buidlings,կին,դեպք,1011
2024,Use,կին,դեպք,5
2024,Having the right to purchase immovable property under construction,կին,դեպք,14105
2024,Use of unauthorised,կին,դեպք,456
2015,Ownership,չեզոք,դեպք,1
2016,Ownership,չեզոք,դեպք,1
2017,Common shared ownership,չեզոք,դեպք,1
2022,Common shared ownership,չեզոք,դեպք,1
2024,Ownership,չեզոք,դեպք,9
2024,Common jointly ownership,չեզոք,դեպք,3
2024,Common shared ownership,չեզոք,դեպք,10
2024,Having the right to purchase immovable property under construction,չեզոք,դեպք,4
