Year,тип права,Пол,Units,Value
2017,Безвозмездное пользование,женщина,случай,31
2017,Пользование жилым помещением,женщина,случай,2
2017,Сервитут,женщина,случай,6
2017,Right of constructor or unauthorised buidlings,женщина,случай,325
2017,Использование,женщина,случай,6
2017,Право покупки возводимого недвижимого имущества,женщина,случай,66
2018,Собственность,женщина,случай,13959
2018,Общая совместная собственность,женщина,случай,6615
2018,Общая долевая собственность,женщина,случай,12736
2018,Аренда,женщина,случай,519
2018,Поднаем,женщина,случай,6
2018,Залог,женщина,случай,23
2018,Права на застройку  земельного участка,женщина,случай,170
2018,Безвозмездное пользование,женщина,случай,24
2018,Сервитут,женщина,случай,2
2018,Right of constructor or unauthorised buidlings,женщина,случай,482
2018,Использование,женщина,случай,3
2018,Право покупки возводимого недвижимого имущества,женщина,случай,265
2018,Use of unauthorised,женщина,случай,1
2019,Собственность,женщина,случай,16206
2019,Общая совместная собственность,женщина,случай,9784
2019,Общая долевая собственность,женщина,случай,14682
2019,Аренда,женщина,случай,657
2019,Поднаем,женщина,случай,6
2019,Залог,женщина,случай,16
2019,Права на застройку  земельного участка,женщина,случай,155
2019,Безвозмездное пользование,женщина,случай,25
2019,Пользование жилым помещением,женщина,случай,3
2019,Сервитут,женщина,случай,3
2019,Right of constructor or unauthorised buidlings,женщина,случай,563
2019,Использование,женщина,случай,5
2019,Право покупки возводимого недвижимого имущества,женщина,случай,843
2019,Use of unauthorised,женщина,случай,3
2020,Собственность,женщина,случай,14938
2020,Общая совместная собственность,женщина,случай,10786
2020,Общая долевая собственность,женщина,случай,13450
2020,Аренда,женщина,случай,648
2020,Поднаем,женщина,случай,10
2020,Залог,женщина,случай,22
2020,Права на застройку  земельного участка,женщина,случай,99
2020,Безвозмездное пользование,женщина,случай,25
2020,Пользование жилым помещением,женщина,случай,1
2020,Сервитут,женщина,случай,5
2020,Right of constructor or unauthorised buidlings,женщина,случай,498
2020,Использование,женщина,случай,27
2020,Право покупки возводимого недвижимого имущества,женщина,случай,1776
2021,Собственность,женщина,случай,20720
2021,Общая совместная собственность,женщина,случай,9044
2021,Общая долевая собственность,женщина,случай,22905
2021,Аренда,женщина,случай,947
2021,Поднаем,женщина,случай,11
2021,Залог,женщина,случай,27
2021,Права на застройку  земельного участка,женщина,случай,182
2021,Безвозмездное пользование,женщина,случай,43
2021,Пользование жилым помещением,женщина,случай,3
2021,Сервитут,женщина,случай,11
2021,Доверительное управление,женщина,случай,1
2021,Right of constructor or unauthorised buidlings,женщина,случай,550
2021,Использование,женщина,случай,6
2021,Право покупки возводимого недвижимого имущества,женщина,случай,4599
2021,Use of unauthorised,женщина,случай,6
2022,Собственность,женщина,случай,23063
2022,Общая совместная собственность,женщина,случай,7935
2022,Общая долевая собственность,женщина,случай,25159
2022,Аренда,женщина,случай,943
2022,Поднаем,женщина,случай,6
2022,Залог,женщина,случай,41
2022,Права на застройку  земельного участка,женщина,случай,255
