Year,Units,Սեռ,Տարիք,Տեսակ,Value
2015,%,արական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.12
2016,%,արական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.12
2017,%,արական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.12
2018,%,արական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.11
2019,%,արական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.11
2020,%,արական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.11
2015,%,իգական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.13
2016,%,իգական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.11
2017,%,իգական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.12
2018,%,իգական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.11
2019,%,իգական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.11
2020,%,իգական,,ընդամենը՝ համապատասխանն տարիքի բնակչությունից,0.1
2015,%,,մինչև 1 տարեկան,,0.16
2016,%,,մինչև 1 տարեկան,,0.12
2017,%,,մինչև 1 տարեկան,,0.16
2018,%,,մինչև 1 տարեկան,,0.13
2019,%,,մինչև 1 տարեկան,,0.15
2020,%,,մինչև 1 տարեկան,,0.12
2015,%,արական,մինչև 1 տարեկան,,0.15
2016,%,արական,մինչև 1 տարեկան,,0.12
2017,%,արական,մինչև 1 տարեկան,,0.14
2018,%,արական,մինչև 1 տարեկան,,0.14
2019,%,արական,մինչև 1 տարեկան,,0.13
2020,%,արական,մինչև 1 տարեկան,,0.13
2015,%,իգական,մինչև 1 տարեկան,,0.17
2016,%,իգական,մինչև 1 տարեկան,,0.11
2017,%,իգական,մինչև 1 տարեկան,,0.18
2018,%,իգական,մինչև 1 տարեկան,,0.13
2019,%,իգական,մինչև 1 տարեկան,,0.18
2020,%,իգական,մինչև 1 տարեկան,,0.1
2015,%,,1-6 տարեկան,,0.08
2016,%,,1-6 տարեկան,,0.08
2017,%,,1-6 տարեկան,,0.07
2018,%,,1-6 տարեկան,,0.07
2019,%,,1-6 տարեկան,,0.07
2020,%,,1-6 տարեկան,,0.06
2015,%,արական,1-6 տարեկան,,0.08
2016,%,արական,1-6 տարեկան,,0.09
2017,%,արական,1-6 տարեկան,,0.07
2018,%,արական,1-6 տարեկան,,0.07
2019,%,արական,1-6 տարեկան,,0.07
2020,%,արական,1-6 տարեկան,,0.06
2015,%,իգական,1-6 տարեկան,,0.08
2016,%,իգական,1-6 տարեկան,,0.08
2017,%,իգական,1-6 տարեկան,,0.06
2018,%,իգական,1-6 տարեկան,,0.07
2019,%,իգական,1-6 տարեկան,,0.06
2020,%,իգական,1-6 տարեկան,,0.05
2015,%,,7-9 տարեկան,,0.13
2016,%,,7-9 տարեկան,,0.12
2017,%,,7-9 տարեկան,,0.14
2018,%,,7-9 տարեկան,,0.11
2019,%,,7-9 տարեկան,,0.11
2020,%,,7-9 տարեկան,,0.1
2015,%,արական,7-9 տարեկան,,0.13
2016,%,արական,7-9 տարեկան,,0.12
2017,%,արական,7-9 տարեկան,,0.15
2018,%,արական,7-9 տարեկան,,0.12
2019,%,արական,7-9 տարեկան,,0.12
2020,%,արական,7-9 տարեկան,,0.1
2015,%,իգական,7-9 տարեկան,,0.13
2016,%,իգական,7-9 տարեկան,,0.12
2017,%,իգական,7-9 տարեկան,,0.13
2018,%,իգական,7-9 տարեկան,,0.1
2019,%,իգական,7-9 տարեկան,,0.11
2020,%,իգական,7-9 տարեկան,,0.09
2015,%,,10-15 տարեկան,,0.12
2016,%,,10-15 տարեկան,,0.11
2017,%,,10-15 տարեկան,,0.1
2018,%,,10-15 տարեկան,,0.09
2019,%,,10-15 տարեկան,,0.09
2020,%,,10-15 տարեկան,,0.09
2015,%,արական,10-15 տարեկան,,0.12
