Year,Units,Կատեգորիա,Տեսակ,Value
2017,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.6
2018,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.5
2019,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.5
2020,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.5
2021,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.5
2022,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.4
2023,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.3
2024,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,0.3
2015,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2016,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2017,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2018,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2019,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2020,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2021,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2022,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.2
2023,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.1
2024,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.1
2015,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,2.2
2016,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,3.4
2017,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,3.1
2018,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,2.5
2019,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,3.0
2020,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,3.7
2021,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,3.6
2022,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,3.1
2023,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,2.8
2024,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,2.7
2015,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.02
2016,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.02
2017,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.08
