Year,Units,Категория,Тип,Value
2024,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Ископаемое топливо,0.1
2015,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,2.2
2016,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,3.4
2017,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,3.1
2018,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,2.5
2019,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,3.0
2020,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,3.7
2021,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,3.6
2022,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,3.1
2023,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,2.8
2024,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Металлические руды,2.7
2015,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.02
2016,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.02
2017,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.08
2018,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.06
2019,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.08
2020,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.09
2021,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.08
2022,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.07
2023,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.06
2024,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),0.06
2015,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.5
2016,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.3
2017,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.4
2018,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.5
2019,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.4
2020,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.5
2021,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.5
2022,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.4
2023,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.3
2024,килограммы в постоянных долларах США 2020 года,Внутреннее материальное потребление на единицу ВВП по видам сырья,Неметаллические минералы,0.3
2015,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,270.8
2016,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,-45.6
2017,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,364.4
2018,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,31.3
2019,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,-1014.6
2020,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,-998.6
2021,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,-1029.2
2022,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,-1024.4
2023,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,-1043.8
2024,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Отходы для окончательной обработки и удаления,-1050.7
2015,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,40751096.1
2016,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,51905830.9
2017,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,52971110.9
2018,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,47413851.4
2019,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,56609870.8
2020,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,62801874.9
2021,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,64767880.3
2022,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,62427571.8
2023,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,59216250.6
2024,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Всего или без разбивки,60648823.0
2015,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,8734586.6
2016,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,8186486.5
2017,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,7467115.3
2018,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,6810875.3
2019,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,6293130.9
2020,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,6702068.4
2021,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,6531752.4
2022,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,6129938.4
2023,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,5579640.7
2024,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Биомасса,5678501.0
2015,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2026161.7
2016,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,1929822.7
2017,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2068605.6
2018,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2133311.3
2019,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2257438.6
2020,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2384998.6
2021,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2562643.4
2022,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2379503.6
2023,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2169457.2
2024,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Ископаемое топливо,2174192.7
2015,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,24557087.5
2016,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,37982591.7
2017,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,37648295.6
2018,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,31319637.5
2019,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,41022645.2
2020,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,46737705.4
2021,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,48341786.4
2022,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,46993594.3
2023,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,45134435.9
2024,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Металлические руды,46138425.9
2015,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),184187.6
2016,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),212138.1
2017,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),935023.5
2018,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),726242.3
2019,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),1112176.6
2020,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),1099749.4
2021,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),1133013.9
2022,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),1083308.1
2023,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),1008957.4
2024,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Смешанные и сложные продукты (не классифицированные в других категориях),1038128.2
2015,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,5248802.0
2016,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,3594837.6
2017,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,4851706.5
2018,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,6423753.7
2019,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,5925494.0
2020,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,5878351.7
2021,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,6199713.4
2022,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,5842251.9
2023,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,5324803.2
2024,тонны,Внутреннее материальное потребление на душу населения по видам сырья,Неметаллические минералы,5620625.9
